X,Y,Name,website,opening_hours,phone,email
22.22627012,41.41058782,Попова Кула,,,,
22.12806426,41.31544527,Grkov Winery,,,,
22.0342367,41.51782525,Domaine Lepovo,,,,
21.4904281,42.00787675,Камник,,,,
21.93563372,41.58142217,Vinarija Stobi,https://www.stobiwinery.mk/,,,
21.47644593,41.96242568,Kartal Winery ,,,,
22.00477554,41.43615783,Zaharchev Winery and Distillery,https://www.zaharchev.mk/,Mo-Su 08:00-22:00,070 253 103,
21.7409905,41.77777403,Chateau Sopot,,Mo-Su 09:00-22:00,+389 78 663 300,
22.0915153,41.49437043,Bovin Winery,http://www.bovin.com.mk,Mo-Fr 08:00-16:00,43365322,bovin@t.mk
21.4394921,41.99400753,Tikves,,,,
21.4272901,41.99504773,Kamnik,,,,
21.4358622,42.00018183,Winery Temov,,,,
21.4310531,41.99560253,Skovin,,,,
22.1940439,41.73789703,,,,,
21.4209535,42.00009993,Stobi Winery,,,,
21.740898,41.77746873,Château Sopot Winery,,,,
20.877133,41.18488483,monastery winery,https://monasterywinery.com,Mo-Su 08:00-23:00,+389 78474656,info@monasterywinery.com
